id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
c7077b21,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00010110,00110110,00010110,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:AND_NOT(4,5)->0 | 1:binary:AND_NOT(5,6)->0 | 2:binary:NOR(0,3)->1 | 3:unary:ID(7)->1 | 4:unary:ID(0)->0 | 5:constant:CONST1()->1 | 6:unary:ID(2)->1 | 7:unary:ID(3)->0"
839e7350,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00111011,00011011,00111011,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:XNOR(2,5)->0 | 1:binary:XNOR(3,6)->0 | 2:unary:ID(0)->0 | 3:unary:NOT(5)->1 | 4:unary:NOT(6)->1 | 5:unary:NOT(7)->0 | 6:constant:CONST1()->1 | 7:constant:CONST1()->1"
a365e304,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,11011011,11011001,11011011,True,False,False,reject_rule_class_has_losses,1,0,"0:unary:ID(5)->1 | 1:unary:ID(6)->1 | 2:unary:ID(7)->0 | 3:unary:ID(0)->1 | 4:unary:ID(1)->1 | 5:binary:XOR(0,2)->0 | 6:binary:XOR(0,1)->0 | 7:binary:NOT_OR(1,5)->1"
f3971b9a,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00011001,00001001,00011001,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:AND_NOT(2,4)->0 | 1:binary:AND_NOT(2,5)->0 | 2:binary:AND(0,4)->0 | 3:binary:AND(0,5)->0 | 4:unary:ID(6)->1 | 5:unary:ID(7)->0 | 6:unary:ID(0)->0 | 7:unary:ID(1)->1"
ab71eaa0,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00010010,00011010,00010010,True,False,False,reject_rule_class_has_losses,1,0,"0:unary:ID(1)->0 | 1:unary:ID(2)->0 | 2:unary:ID(3)->0 | 3:binary:XOR(0,4)->1 | 4:unary:NOT(3)->1 | 5:binary:XOR(2,6)->0 | 6:binary:XOR(3,7)->1 | 7:unary:ID(4)->0"
1abaffca,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule3,01011000,00110100,01000000,False,False,False,reject_rule_class_has_losses,1,0,"0:binary:NOT_AND(0,1)->0 | 1:constant:CONST0()->0 | 2:binary:NOR(1,4)->1 | 3:binary:OR(0,2)->1 | 4:ternary:CHO(0,2,1)->0 | 5:binary:NAND(4,5)->1 | 6:unary:ID(7)->0 | 7:unary:ID(0)->0"
892d73b5,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule1,00010101,10010101,00010101,True,False,False,reject_rule_class_has_losses,1,0,0:unary:NOT(1)->1 | 1:unary:ID(6)->0 | 2:unary:ID(7)->0 | 3:unary:ID(0)->1 | 4:unary:ID(1)->0 | 5:unary:ID(2)->1 | 6:unary:ID(3)->0 | 7:unary:ID(4)->1
e6d2a064,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,11100011,11100010,11100011,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:XNOR(2,5)->1 | 1:binary:XNOR(3,6)->1 | 2:constant:CONST1()->1 | 3:binary:XNOR(0,5)->0 | 4:binary:XNOR(1,6)->0 | 5:binary:XNOR(2,4)->0 | 6:unary:NOT(3)->1 | 7:unary:ID(0)->0"
a1d2bb0c,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00100010,00100000,00100010,True,False,False,reject_rule_class_has_losses,1,0,"0:unary:ID(1)->0 | 1:unary:ID(2)->0 | 2:unary:ID(3)->1 | 3:unary:ID(4)->0 | 4:unary:ID(5)->0 | 5:binary:NOT_AND(0,3)->0 | 6:binary:AND(0,1)->0 | 7:unary:ID(2)->0"
0e70c867,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,01000000,00100100,01000000,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:AND(2,4)->0 | 1:binary:NOT_AND(1,2)->0 | 2:binary:NOT_AND(1,6)->1 | 3:binary:XOR(1,7)->0 | 4:constant:CONST0()->0 | 5:unary:ID(0)->1 | 6:binary:AND(0,1)->0 | 7:binary:AND(0,1)->0"
54b895c1,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_partial_fallback1_maxrule5,10111011,10001011,10111011,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:XNOR(2,4)->1 | 1:binary:XOR(1,4)->0 | 2:fallback:DEFAULT_OUT2_0()->0 | 3:binary:OR(0,1)->0 | 4:binary:NAND(0,6)->1 | 5:unary:ID(3)->0 | 6:binary:NOT_OR(0,3)->1 | 7:unary:NOT(1)->1"
f2b23d11,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,10000000,00000000,10000000,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:NOR(1,4)->0 | 1:binary:NOT_AND(1,4)->0 | 2:binary:NOT_AND(4,5)->0 | 3:constant:CONST0()->0 | 4:constant:CONST0()->0 | 5:constant:CONST0()->0 | 6:constant:CONST0()->0 | 7:constant:CONST0()->0"
5cbe919f,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00000000,00001001,00000000,True,False,False,reject_rule_class_has_losses,1,0,"0:constant:CONST0()->0 | 1:constant:CONST0()->0 | 2:constant:CONST0()->0 | 3:constant:CONST0()->0 | 4:binary:AND_NOT(0,1)->1 | 5:constant:CONST0()->0 | 6:binary:AND(2,4)->0 | 7:binary:AND_NOT(0,1)->1"
b43d9cd5,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule1,11100100,11101000,11100100,True,False,False,reject_rule_class_has_losses,1,0,0:unary:ID(2)->1 | 1:unary:ID(3)->1 | 2:unary:ID(4)->1 | 3:unary:ID(5)->0 | 4:unary:ID(4)->1 | 5:constant:CONST0()->0 | 6:unary:ID(0)->0 | 7:unary:ID(1)->0
d6187157,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,01001000,00001000,01001000,True,False,False,reject_rule_class_has_losses,1,0,"0:unary:ID(3)->0 | 1:unary:NOT(1)->0 | 2:unary:ID(3)->0 | 3:binary:NOT_AND(0,4)->0 | 4:binary:AND_NOT(2,3)->1 | 5:unary:ID(6)->0 | 6:binary:AND(2,7)->0 | 7:constant:CONST0()->0"
29e458d6,bit_manipulation,v365_bit_boolean_grammar,bit_boolean_grammar_l4_ok_fallback0_maxrule2,00010010,00011000,00010010,True,False,False,reject_rule_class_has_losses,1,0,"0:binary:NOT_AND(1,7)->0 | 1:binary:AND_NOT(0,2)->0 | 2:binary:AND_NOT(1,2)->0 | 3:binary:AND_NOT(2,4)->1 | 4:binary:NOR(0,1)->1 | 5:binary:AND_NOT(4,6)->0 | 6:binary:AND(0,4)->0 | 7:unary:ID(6)->0"
