split,id,source_id,family,rule_class,negative_type,existing_source_ok,rule_certified,missing_rule_cert_count,missing_rule_cert_fields,adapter_exact_wrong_certificate,raw_output_collected_without_labels,locked_before_answer_audit,labels_joined_after_collection_from_public_train,weak_gate_rows_used_for_training,full_gate_rows_used_for_training,target_style,certification_grade
train,v439_v435e_hard_negative_000b53cf,000b53cf,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_00890aff,00890aff,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_012fb81b,012fb81b,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_0245b9bb,0245b9bb,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_0311b798,0311b798,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_04d8c3e6,04d8c3e6,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_053f87d3,053f87d3,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_06881e47,06881e47,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_06b5da9f,06b5da9f,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
train,v439_v435e_hard_negative_07e8cf66,07e8cf66,bit_manipulation,bit_adapter_exact_wrong,hard_negative_adapter_exact_wrong,True,False,8,rule_unique_label_free|rule_candidate_count|program_or_rule|mdl_score|leave_one_out_pass|renaming_stability_pass|slot_alignment_stats|rule_frozen_before_answer,True,True,True,True,False,False,final_answer_only_equalized,format_clean_but_not_rule_certified
