key,count,answer_count,family_count,subcategory_count,answers_preview,families,subcategories,ids_preview,template_preview
2842c74f4296f1a0d92c50ccfd1faa8b95c8e17f52fdaad16ee142ffd2e7f485,300,136,1,1,-1|-10|-11|-12|-13|-14|-15|-16|-17|-18,equation_transform,equation_numeric_minus_signed,v673_train_eq_00439_919a9d6a6e|v673_train_eq_00308_d857c0db41|v673_train_eq_00326_be2addb861|v673_train_eq_00392_f538958be3|v673_train_eq_00444_301d1d6c11|v673_train_eq_00348_14206f3ed1|v673_train_eq_00436_5199970ec2|v673_train_eq_00395_7c0be33663|v673_train_eq_00422_8b4a824c2f|v673_train_eq_00409_d83e94dd88,"rule: for this '-' operator, compute left minus right and preserve the sign. check the examples that use this operator: - <num><num> -> <num> - <num><num> -> <num> - <num><num> -> <num> - <num><num> -> <num> - <num><num>"
739dfbe065a78b99108a41f3cf221d9160db5fda3b40d4387b2eb707ba2ab8a2,150,9,1,1,10|20|30|40|50|60|70|80|90,equation_transform,equation_numeric_colon_trailing_zero,v673_train_eq_00219_b7b661f65d|v673_train_eq_00186_9d9cc94929|v673_train_eq_00151_8f28e58a2f|v673_train_eq_00222_4ba3f4def7|v673_train_eq_00203_3dfaca89c3|v673_train_eq_00168_e6ac5e0c29|v673_train_eq_00177_5d15486852|v673_train_eq_00232_c516426f94|v673_train_eq_00137_97cdd092a0|v673_train_eq_00127_bd617cb8de,"rule: for this ':' operator, compute the absolute difference and keep any trailing zero. check the examples that use this operator: - <num>:<num> -> <num> - <num>:<num> -> <num> - <num>:<num> -> <num> - <num>:<num> -> <n"
c9bd83267a6d62076f66f7e0bc2f1747b3ff6fdfbc33f415c4e443d867d20f30,75,58,1,1,101|107|108|109|110|112|113|114|116|118,equation_transform,equation_numeric_add_direct,v673_train_eq_00070_42e0a23002|v673_train_eq_00092_e87fb2b74c|v673_train_eq_00056_2756b03c92|v673_train_eq_00102_0377fd7402|v673_train_eq_00062_48725e3cd6|v673_train_eq_00044_ab12c4689f|v673_train_eq_00090_61dcadcf97|v673_train_eq_00086_a55cb42a9b|v673_train_eq_00078_b352e94ecc|v673_train_eq_00098_aef696916a,"rule: for this additive operator, compute the direct sum of the two numbers. check the examples that use this operator: - <num>)<num> -> <num> - <num>)<num> -> <num> - <num>)<num> -> <num> apply the same rule to the quer"
dac4deb74869e448ffde3aa4c225e6190abfbe9078c2d7e682367272080071c6,75,63,1,1,101|102|103|104|105|106|107|108|110|112,equation_transform,equation_numeric_add_direct,v673_train_eq_00067_0073f56827|v673_train_eq_00101_dcb2fea1d9|v673_train_eq_00103_60e582e6b1|v673_train_eq_00085_b7de220a2d|v673_train_eq_00051_60316c2d97|v673_train_eq_00005_f114be363a|v673_train_eq_00065_02fd365bc8|v673_train_eq_00007_b19f86e7e3|v673_train_eq_00047_791ae9be00|v673_train_eq_00091_44fce24997,"rule: for this additive operator, compute the direct sum of the two numbers. check the examples that use this operator: - <num>+<num> -> <num> - <num>+<num> -> <num> - <num>+<num> -> <num> apply the same rule to the quer"
c2c5af9ec1cafe5530dd9e5ed7d73ca35441c5a730227fa08c58ff179ec33f60,3,1,1,1,11111000,bit_manipulation,bit_exact_global_binary_replay,v673_train_bit_00121_530925bd26|v673_train_bit_00129_77d9780a26|v673_train_bit_00063_1f03f5c76d,"rule: apply the <num>-bit operation or(rol2,shl4). rule class: bit_exact_global_binary_or. query byte code: qcg. use the same bit transformation shown by the prompt examples. final answer: \boxed{<ans>}"
01b1fddd6653d32f00b92850bc6804f413babbb280abcc033b072e047b96c10c,2,1,1,1,00000110,bit_manipulation,bit_fullbyte_ternary_v366_new,v673_train_bit_00046_75dfd86771|v673_train_bit_00188_a2ffdd141e,"rule: apply the <num>-bit operation maj3(rol2,shl1,shr5). rule class: bit_fullbyte_ternary_op_maj3. query byte code: qkd. use the same bit transformation shown by the prompt examples. final answer: \boxed{<ans>}"
1eba90c2460ce3471a4199cab5044818b8f8f01eea64ef32d8f39e10af92921b,2,1,1,1,10100001,bit_manipulation,bit_exact_global_binary_replay,v673_train_bit_00016_8f366afd6b|v673_train_bit_00006_6b9f737846,"rule: apply the <num>-bit operation or(rol2,shl4). rule class: bit_exact_global_binary_or. query byte code: qgi. use the same bit transformation shown by the prompt examples. final answer: \boxed{<ans>}"
39bd9dbc30bcfceb03ad872e16e953af40f89a81af7b720c21aea554e87ea7ce,2,1,1,1,10000100,bit_manipulation,bit_exact_global_binary_replay,v673_train_bit_00162_effc095404|v673_train_bit_00185_3fe2abfc79,"rule: apply the <num>-bit operation xor(shl1,shr4). rule class: bit_exact_global_binary_xor. query byte code: qme. use the same bit transformation shown by the prompt examples. final answer: \boxed{<ans>}"
a5ffcab27b7a9e9a3cfc118fd910631d258ac0dcfbff6e68a856b1d3021e64d9,2,1,1,1,10100000,bit_manipulation,bit_exact_global_binary_replay,v673_train_bit_00177_91be0b3d6b|v673_train_bit_00190_49318d6368,"rule: apply the <num>-bit operation or(rol2,shl4). rule class: bit_exact_global_binary_or. query byte code: qci. use the same bit transformation shown by the prompt examples. final answer: \boxed{<ans>}"
ef5ea97d6b1bfe4181fe9ada6a3921ebccc29543d3947b1a24048e5f2ead2847,2,1,1,1,01101111,bit_manipulation,bit_exact_global_ternary_replay,v673_train_bit_00090_88175387b6|v673_validation_bit_00056_883c59beb7,"rule: apply the <num>-bit operation xnor(rol7,or(rol1,shr1)). rule class: bit_exact_global_ternary_unique_prediction. query byte code: qei. use the same bit transformation shown by the prompt examples. final answer: \box"
