id,family,source,status,prediction,answer,baseline_prediction,baseline_correct,candidate_correct,accepted,reason,proof
e518256e,equation_transform,v408_equation_symbolic_pbe,abstain,,84,84,True,False,False,numeric_same_operator_extended,same_operator_examples=1 below_min=2
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_char_transducer,no_pair_mapping
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_delete_selected_chars,delete_char_sets=; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_keep_selected_chars,keep_char_sets=; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_prefix_until_marker,markers=''; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_suffix_after_marker,markers=''; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_prefix_before_last_marker,markers=''; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_suffix_after_last_marker,markers=''; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_remove_first_marker,markers=''; unique_prediction_count=0
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_position_template,nonuniform_rhs_lengths
09d5ee68,equation_transform,v408_equation_symbolic_pbe,abstain,,!?'!,|:>>,False,False,False,symbolic_operator_index_template,programs=; unique_prediction_count=0
7e5b8c12,bit_manipulation,v408_bit_unique_value,abstain,,10110000,10110000,True,False,False,ambiguous_prediction_bit_0,"{""candidate_counts"": [5], ""reason"": ""ambiguous_prediction_bit_0"", ""status"": ""abstain""}"
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_char_transducer,no_global_mapping
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_delete_selected_chars,delete_char_sets=; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_keep_selected_chars,keep_char_sets=; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_prefix_until_marker,markers=''; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_suffix_after_marker,markers=''; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_prefix_before_last_marker,markers=''; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_suffix_after_last_marker,markers=''; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_remove_first_marker,markers=''; unique_prediction_count=0
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_position_template,nonuniform_rhs_lengths
00457d26,equation_transform,v408_equation_symbolic_pbe,abstain,,@&,\boxed[[!'},False,False,False,symbolic_operator_index_template,programs=; unique_prediction_count=0
518deb39,equation_transform,v408_equation_symbolic_pbe,abstain,,$,{}>{,False,False,False,symbolic_char_transducer,no_global_mapping
518deb39,equation_transform,v408_equation_symbolic_pbe,abstain,,$,{}>{,False,False,False,symbolic_delete_selected_chars,delete_char_sets=; unique_prediction_count=0
518deb39,equation_transform,v408_equation_symbolic_pbe,abstain,,$,{}>{,False,False,False,symbolic_keep_selected_chars,keep_char_sets=; unique_prediction_count=0
518deb39,equation_transform,v408_equation_symbolic_pbe,abstain,,$,{}>{,False,False,False,symbolic_prefix_until_marker,markers=''; unique_prediction_count=0
518deb39,equation_transform,v408_equation_symbolic_pbe,abstain,,$,{}>{,False,False,False,symbolic_suffix_after_marker,markers=''; unique_prediction_count=0
518deb39,equation_transform,v408_equation_symbolic_pbe,abstain,,$,{}>{,False,False,False,symbolic_prefix_before_last_marker,markers=''; unique_prediction_count=0
