id,subtype,answer,baseline_prediction,rule_class,status,prediction,verified_by_weak_label,incorrect_by_weak_label,promotable_after_class_gate,query,example_count,proof
09d5ee68,equation_symbolic_punct,!?'!,|:>>,symbolic_all_examples_char_transducer,abstain,,False,False,False,|:*>>,4,no_pair_mapping
09d5ee68,equation_symbolic_punct,!?'!,|:>>,symbolic_reverse,abstain,,False,False,False,|:*>>,4,examples_do_not_match_reverse
09d5ee68,equation_symbolic_punct,!?'!,|:>>,symbolic_prefix_suffix,abstain,,False,False,False,|:*>>,4,nonuniform_lengths
09d5ee68,equation_symbolic_punct,!?'!,|:>>,symbolic_positional_deletion_audit_only,abstain,,False,False,False,|:*>>,4,nonuniform_lengths
00457d26,equation_symbolic_punct,@&,[[!',symbolic_all_examples_char_transducer,abstain,,False,False,False,[[-!',4,no_global_mapping
00457d26,equation_symbolic_punct,@&,[[!',symbolic_reverse,abstain,,False,False,False,[[-!',4,examples_do_not_match_reverse
00457d26,equation_symbolic_punct,@&,[[!',symbolic_prefix_suffix,abstain,,False,False,False,[[-!',4,nonuniform_lengths
00457d26,equation_symbolic_punct,@&,[[!',symbolic_positional_deletion_audit_only,abstain,,False,False,False,[[-!',4,nonuniform_lengths
518deb39,equation_symbolic_punct,$,{}$>,symbolic_all_examples_char_transducer,abstain,,False,False,False,$$-<>,4,no_global_mapping
518deb39,equation_symbolic_punct,$,{}$>,symbolic_reverse,abstain,,False,False,False,$$-<>,4,examples_do_not_match_reverse
518deb39,equation_symbolic_punct,$,{}$>,symbolic_prefix_suffix,abstain,,False,False,False,$$-<>,4,nonuniform_lengths
518deb39,equation_symbolic_punct,$,{}$>,symbolic_positional_deletion_audit_only,abstain,,False,False,False,$$-<>,4,nonuniform_lengths
82109e34,equation_symbolic_punct,-@>,'^^^',symbolic_all_examples_char_transducer,abstain,,False,False,False,'^-^^,4,no_global_mapping
82109e34,equation_symbolic_punct,-@>,'^^^',symbolic_reverse,abstain,,False,False,False,'^-^^,4,examples_do_not_match_reverse
82109e34,equation_symbolic_punct,-@>,'^^^',symbolic_prefix_suffix,abstain,,False,False,False,'^-^^,4,nonuniform_lengths
82109e34,equation_symbolic_punct,-@>,'^^^',symbolic_positional_deletion_audit_only,abstain,,False,False,False,'^-^^,4,nonuniform_lengths
e1728524,equation_numeric_operator,1089,0,numeric_same_operator_rule,abstain,,False,False,False,99/99,5,no_same_operator_examples
e3bf0c2c,equation_symbolic_punct,"""`",@`',symbolic_all_examples_char_transducer,abstain,,False,False,False,@`}'',5,no_global_mapping
e3bf0c2c,equation_symbolic_punct,"""`",@`',symbolic_reverse,abstain,,False,False,False,@`}'',5,examples_do_not_match_reverse
e3bf0c2c,equation_symbolic_punct,"""`",@`',symbolic_prefix_suffix,abstain,,False,False,False,@`}'',5,nonuniform_lengths
e3bf0c2c,equation_symbolic_punct,"""`",@`',symbolic_positional_deletion_audit_only,abstain,,False,False,False,@`}'',5,nonuniform_lengths
fdbdf50c,equation_symbolic_punct,"-\""",|?|,symbolic_all_examples_char_transducer,abstain,,False,False,False,|\-?|,5,no_global_mapping
fdbdf50c,equation_symbolic_punct,"-\""",|?|,symbolic_reverse,abstain,,False,False,False,|\-?|,5,examples_do_not_match_reverse
fdbdf50c,equation_symbolic_punct,"-\""",|?|,symbolic_prefix_suffix,abstain,,False,False,False,|\-?|,5,nonuniform_lengths
fdbdf50c,equation_symbolic_punct,"-\""",|?|,symbolic_positional_deletion_audit_only,abstain,,False,False,False,|\-?|,5,nonuniform_lengths
47c1d8f5,equation_symbolic_punct,]%],/`%`,symbolic_all_examples_char_transducer,abstain,,False,False,False,/`#%`,4,no_global_mapping
47c1d8f5,equation_symbolic_punct,]%],/`%`,symbolic_reverse,abstain,,False,False,False,/`#%`,4,examples_do_not_match_reverse
47c1d8f5,equation_symbolic_punct,]%],/`%`,symbolic_prefix_suffix,abstain,,False,False,False,/`#%`,4,nonuniform_lengths
47c1d8f5,equation_symbolic_punct,]%],/`%`,symbolic_positional_deletion_audit_only,abstain,,False,False,False,/`#%`,4,nonuniform_lengths
f9a33aa1,equation_symbolic_punct,/((`,@($/,symbolic_all_examples_char_transducer,abstain,,False,False,False,@(\$/,4,no_pair_mapping
f9a33aa1,equation_symbolic_punct,/((`,@($/,symbolic_reverse,abstain,,False,False,False,@(\$/,4,examples_do_not_match_reverse
f9a33aa1,equation_symbolic_punct,/((`,@($/,symbolic_prefix_suffix,abstain,,False,False,False,@(\$/,4,nonuniform_lengths
f9a33aa1,equation_symbolic_punct,/((`,@($/,symbolic_positional_deletion_audit_only,abstain,,False,False,False,@(\$/,4,nonuniform_lengths
f9799a68,equation_symbolic_punct,&:/?,:^?\,symbolic_all_examples_char_transducer,abstain,,False,False,False,:^*?\,4,no_global_mapping
f9799a68,equation_symbolic_punct,&:/?,:^?\,symbolic_reverse,abstain,,False,False,False,:^*?\,4,examples_do_not_match_reverse
f9799a68,equation_symbolic_punct,&:/?,:^?\,symbolic_prefix_suffix,abstain,,False,False,False,:^*?\,4,nonuniform_lengths
f9799a68,equation_symbolic_punct,&:/?,:^?\,symbolic_positional_deletion_audit_only,abstain,,False,False,False,:^*?\,4,nonuniform_lengths
c24074a8,equation_symbolic_punct,&/,]]]%,symbolic_all_examples_char_transducer,abstain,,False,False,False,]]`]%,5,no_global_mapping
