id,expected,fullbyte_answer,current_answer,chosen_answer,fullbyte_correct,current_correct,ensemble_correct,status,level,expr,gain,loss
78616706,00000111,10000111,00000111,10000111,False,True,False,ok,ternary,"AND_OR(ROL3,SHL7,SHR3)",False,True
1abaffca,01000000,01000000,00000000,01000000,True,False,True,ok,ternary,"CHO(SHL2,SHR3,ROL1)",True,False
0e70c867,01000000,01000000,00100100,01000000,True,False,True,ok,ternary,"MAJ3(ROL2,SHL4,SHR5)",True,False
d6187157,01001000,01001000,00001000,01001000,True,False,True,ok,ternary,"MAJ3(ROL1,SHL3,SHR4)",True,False
3a67aa26,00101110,,00101110,00101110,False,True,True,no_expression,,,False,False
b8722d19,00100100,00100100,11000000,00100100,True,False,True,ok,ternary,"CHO(SHL2,SHR1,ROL3)",True,False
7192535b,00000010,00000010,00001010,00000010,True,False,True,ok,ternary,"MAJ3(ROL5,SHL1,SHR4)",True,False
8740ed31,01101000,01101000,00001010,01101000,True,False,True,ok,ternary,"MAJ3(ROL7,SHL3,SHR3)",True,False
55d834d1,00111111,,00111111,00111111,False,True,True,no_expression,,,False,False
1a7c8520,01100000,01100000,00100000,01100000,True,False,True,ok,ternary,"MAJ3(ROL2,SHL1,SHR5)",True,False
59bee375,10010101,,10010101,10010101,False,True,True,no_expression,,,False,False
8243c91e,01000101,01000101,00000001,01000101,True,False,True,ok,ternary,"MAJ3(ROL1,SHL4,SHR5)",True,False
a6192d29,00001000,00001000,00000000,00001000,True,False,True,ok,ternary,"MAJ3(ROL6,SHL1,SHR1)",True,False
048cc279,01010000,01010000,10100000,01010000,True,False,True,ok,ternary,"MAJ3(ROL1,SHL3,SHR2)",True,False
3595c82c,10011011,,10011011,10011011,False,True,True,no_expression,,,False,False
b8aa3072,00000011,00000011,00000111,00000011,True,False,True,ok,ternary,"CHO(SHL2,SHR4,ROL7)",True,False
5ba26f21,01011100,01011100,00000000,01011100,True,False,True,ok,ternary,"CHO(SHL1,SHR1,ROL4)",True,False
0290f51a,10101111,,10101111,10101111,False,True,True,no_expression,,,False,False
