id,expected,grammar_answer,current_answer,grammar_correct,current_correct,status,fallback_bits,rule_levels,rule_names
c7077b21,00010110,00110110,00010110,False,True,ok,0,binary binary binary unary unary constant unary unary,AND_NOT AND_NOT NOR ID ID CONST1 ID ID
839e7350,00111011,00011011,00111011,False,True,ok,0,binary binary unary unary unary unary constant constant,XNOR XNOR ID NOT NOT NOT CONST1 CONST1
a365e304,11011011,11011001,11011011,False,True,ok,0,unary unary unary unary unary binary binary binary,ID ID ID ID ID XOR XOR NOT_OR
f3971b9a,00011001,00001001,00011001,False,True,ok,0,binary binary binary binary unary unary unary unary,AND_NOT AND_NOT AND AND ID ID ID ID
ab71eaa0,00010010,00011010,00010010,False,True,ok,0,unary unary unary binary unary binary binary unary,ID ID ID XOR NOT XOR XOR ID
892d73b5,00010101,10010101,00010101,False,True,ok,0,unary unary unary unary unary unary unary unary,NOT ID ID ID ID ID ID ID
a1d2bb0c,00100010,00100000,00100010,False,True,ok,0,unary unary unary unary unary binary binary unary,ID ID ID ID ID NOT_AND AND ID
f2b23d11,10000000,00000000,10000000,False,True,ok,0,binary binary binary constant constant constant constant constant,NOR NOT_AND NOT_AND CONST0 CONST0 CONST0 CONST0 CONST0
5cbe919f,00000000,00001001,00000000,False,True,ok,0,constant constant constant constant binary constant binary binary,CONST0 CONST0 CONST0 CONST0 AND_NOT CONST0 AND AND_NOT
b43d9cd5,11100100,11101000,11100100,False,True,ok,0,unary unary unary unary unary constant unary unary,ID ID ID ID ID CONST0 ID ID
29e458d6,00010010,00011000,00010010,False,True,ok,0,binary binary binary binary binary binary binary unary,NOT_AND AND_NOT AND_NOT AND_NOT NOR AND_NOT AND ID
8c9fcc6b,11110111,11110101,11110111,False,True,ok,0,unary unary binary binary binary binary binary unary,ID ID OR XOR XOR XOR NOR ID
8c0f9291,00001111,00001111,00000111,True,False,ok,0,binary binary binary binary binary constant binary constant,XNOR XNOR XNOR XNOR OR_NOT CONST1 XNOR CONST1
3a90fdf6,10100000,00100000,10100000,False,True,ok,0,constant binary binary constant constant constant constant constant,CONST0 AND_NOT AND CONST0 CONST0 CONST0 CONST0 CONST0
d50746e7,01000010,01100010,01000010,False,True,ok,0,binary binary binary binary unary unary unary unary,NOT_AND NOT_AND XNOR NOT_AND ID ID ID ID
4353cd0b,00100001,00101001,00100001,False,True,ok,0,unary unary unary binary binary binary unary unary,ID ID ID XOR NAND XNOR ID ID
5b9964c7,00011011,00001111,00011011,False,True,ok,0,unary unary unary unary binary binary binary binary,ID ID ID ID OR OR_NOT OR OR
3cfc5f9c,01110111,00010111,01110111,False,True,ok,0,binary binary binary binary unary constant constant constant,NOT_AND NOT_AND NOR XNOR NOT CONST1 CONST1 CONST1
114a7439,01110001,11110001,01110001,False,True,ok,0,unary binary unary unary unary unary unary unary,ID NOT_AND ID ID ID ID ID ID
343095d3,01010100,01000100,01010100,False,True,ok,0,binary binary binary binary unary unary unary unary,AND_NOT AND_NOT AND AND ID ID ID ID
6b11c05f,00100010,00001011,00100010,False,True,ok,0,binary unary constant binary binary unary unary constant,NOT_AND NOT CONST0 AND_NOT XOR ID ID CONST1
0f7ddd75,11110110,11111110,11110110,False,True,ok,0,binary binary binary binary binary binary binary unary,OR OR OR NOT_OR NOT_OR OR OR ID
d117113e,00000000,00100010,00000000,False,True,ok,0,constant constant unary constant unary binary binary binary,CONST0 CONST0 ID CONST0 ID AND XOR AND
5a19f71a,11100010,10100010,11100010,False,True,ok,0,binary binary binary unary unary unary unary unary,AND_NOT XOR XOR ID ID ID ID ID
e0eba119,00010010,00000000,00010010,False,True,ok,0,binary binary constant binary binary unary binary unary,NOT_AND NOT_AND CONST0 NOR XOR ID AND_NOT ID
55014a7a,01010000,10010010,01010000,False,True,ok,0,binary binary constant binary unary binary unary unary,NOT_AND AND_NOT CONST0 NOT_AND ID AND_NOT ID NOT
f8fc43d2,11100100,11000000,11100100,False,True,ok,0,unary unary unary binary binary unary binary binary,ID ID NOT XOR XOR NOT XOR XOR
c711f9dd,11000000,01000000,11000000,False,True,ok,0,constant unary unary unary unary unary unary unary,CONST0 NOT ID ID ID ID ID ID
55d834d1,00111111,10101111,00111111,False,True,ok,0,binary unary unary binary binary binary binary binary,XNOR NOT NOT OR NOT_OR NOT_OR NOT_OR NAND
4ef88f92,01010111,01010111,01010110,True,False,ok,0,binary binary binary binary unary binary binary binary,XNOR XNOR XNOR XNOR NOT NOT_OR OR NOT_OR
1c671acc,11111101,11111001,11111101,False,True,ok,0,binary binary binary binary binary binary unary unary,OR_NOT OR OR OR NOT_OR OR_NOT ID ID
2a5d4790,11111111,11111011,11111111,False,True,ok,0,unary unary binary binary binary unary unary binary,ID ID OR_NOT NOT_OR OR NOT ID OR
59bee375,10010101,11011111,10010101,False,True,ok,0,binary binary binary binary unary binary binary binary,XNOR NAND XNOR OR NOT NAND OR OR_NOT
01248b76,11000101,10001101,11000101,False,True,ok,0,binary constant binary binary unary unary unary unary,XOR CONST0 XOR OR ID ID ID ID
0dfd7674,01001110,00001110,01001110,False,True,ok,0,binary binary binary binary binary binary binary unary,XOR NOR XOR XOR XOR XOR XOR ID
ef2fe526,01011010,01001000,01011010,False,True,ok,0,binary binary binary binary unary binary unary constant,AND AND AND_NOT AND ID AND NOT CONST0
00fdc0be,11111111,10111111,11111111,False,True,ok,0,unary unary unary constant constant constant unary unary,ID ID ID CONST1 CONST1 CONST1 ID ID
455b6b61,00111011,00101010,00111011,False,True,ok,0,unary unary binary binary binary binary binary binary,ID ID XNOR AND XOR XOR XNOR AND
1d08947a,10010100,10010000,10010100,False,True,ok,0,unary unary unary unary unary unary constant constant,ID ID ID ID ID NOT CONST0 CONST0
d26f22c3,11101100,11101100,11101000,True,False,ok,0,binary binary unary binary unary binary unary binary,AND_NOT XNOR ID XNOR NOT OR_NOT NOT NOT_OR
ced947c8,01001011,10001011,01001011,False,True,ok,0,binary binary binary binary unary unary unary unary,NOT_AND NOR AND_NOT NOR ID ID ID ID
e641791f,00010001,00011001,00010001,False,True,ok,0,unary unary unary binary binary binary binary binary,ID ID ID XOR NAND XOR XOR XOR
3595c82c,10011011,10010111,10011011,False,True,ok,0,binary binary binary binary binary binary binary unary,XNOR AND XOR XNOR AND OR XNOR ID
bca238ee,00000000,01000000,00000000,False,True,ok,0,unary binary constant constant constant constant constant binary,ID NOT_AND CONST0 CONST0 CONST0 CONST0 CONST0 AND
1f7407ed,00101101,00101101,00101100,True,False,ok,0,binary binary binary unary unary unary binary binary,OR_NOT NOR XNOR NOT NOT NOT OR_NOT OR_NOT
4c327b55,11011100,11011110,11011100,False,True,ok,0,unary unary unary unary binary binary unary unary,ID ID ID ID XOR XOR ID ID
70bc42af,10101010,10111010,10101010,False,True,ok,0,binary binary binary binary binary unary unary unary,OR OR OR OR OR ID ID ID
0c2407ef,11000011,11000010,11000011,False,True,ok,0,unary unary constant binary binary binary binary binary,ID ID CONST0 AND AND AND AND AND
3a148f6a,00100111,00100111,00100110,True,False,ok,0,binary binary binary binary binary binary binary binary,XNOR XNOR XNOR XNOR XNOR XNOR XNOR OR_NOT
16e73f0e,00000001,00000000,00000001,False,True,ok,0,constant constant constant constant unary binary constant binary,CONST0 CONST0 CONST0 CONST0 ID AND CONST0 AND
