id,family,candidate_source,rule_class,old_prediction,new_prediction,answer,old_correct,new_correct,accepted,rejection_reason,candidate_count,conflict_count,proof
ab71eaa0,bit_manipulation,v355_bit_stride,bit_stride_default_bits_4,00010010,00011110,00010010,True,False,False,reject_rule_class_has_losses,1,0,I1 I2 I3 default 1 default 1 default 1 default 1 I4
a1d2bb0c,bit_manipulation,v355_bit_stride,bit_stride_default_bits_2,00100010,00100110,00100010,True,False,False,reject_rule_class_has_losses,1,0,I1 I2 I3 I4 I5 default 1 default 1 I2
0e70c867,bit_manipulation,v355_bit_stride,bit_stride_default_bits_0,01001100,01001000,01000000,False,False,False,reject_rule_class_has_losses,1,0,AND24 AND35 AND46 AND57 AND60 AND70 AND01 AND12
b8722d19,bit_manipulation,v355_bit_stride,bit_stride_default_bits_5,11110100,11111100,00100100,False,False,False,reject_rule_class_has_losses,1,0,NOT2 default 1 default 1 default 1 default 1 default 1 I1 I2
8c9fcc6b,bit_manipulation,v355_bit_stride,bit_stride_default_bits_5,11110111,11111111,11110111,True,False,False,reject_rule_class_has_losses,1,0,I1 I2 default 1 default 1 default 1 default 1 default 1 I5
4353cd0b,bit_manipulation,v355_bit_stride,bit_stride_default_bits_3,00100001,00111101,00100001,True,False,False,reject_rule_class_has_losses,1,0,I2 I3 I4 default 1 default 1 default 1 I3 I4
a794d193,bit_manipulation,v355_bit_stride,bit_stride_default_bits_2,01011101,01011111,01011101,True,False,False,reject_rule_class_has_losses,1,0,I1 I2 I3 I4 I5 default 1 default 1 I2
6f7a9048,bit_manipulation,v355_bit_stride,bit_stride_default_bits_3,00101000,01111000,00101000,True,False,False,reject_rule_class_has_losses,1,0,I4 default 1 default 1 default 1 I3 I4 I5 I6
368f20dd,bit_manipulation,v355_bit_stride,bit_stride_default_bits_1,10000101,10001101,10000101,True,False,False,reject_rule_class_has_losses,1,0,I3 I4 I5 I6 default 1 I1 I2 I3
d40ce15d,bit_manipulation,v355_bit_stride,bit_stride_default_bits_3,00010000,00011100,00010000,True,False,False,reject_rule_class_has_losses,1,0,I2 I3 I4 default 1 default 1 default 1 I3 I4
4ef88f92,bit_manipulation,v355_bit_stride,bit_stride_default_bits_2,01010011,01011111,01010111,False,False,False,reject_rule_class_has_losses,1,0,XOR-NOT12 XOR-NOT23 XOR-NOT34 XOR-NOT45 default 1 default 1 OR-NOT27 OR-NOT30
c869b4f6,bit_manipulation,v355_bit_stride,bit_stride_default_bits_1,10010001,11010001,10010001,True,False,False,reject_rule_class_has_losses,1,0,I6 default 1 I1 I2 I3 I4 I5 I6
12e947ca,bit_manipulation,v355_bit_stride,bit_stride_default_bits_1,00111110,01111110,00111110,True,False,False,reject_rule_class_has_losses,1,0,I6 default 1 I1 I2 I3 I4 I5 I6
fe6d3aa3,bit_manipulation,v355_bit_stride,bit_stride_default_bits_2,10100010,10110010,10100010,True,False,False,reject_rule_class_has_losses,1,0,I4 I5 default 1 default 1 I2 I3 I4 I5
ef2fe526,bit_manipulation,v355_bit_stride,bit_stride_default_bits_0,01011010,01011011,01011010,True,False,False,reject_rule_class_has_losses,1,0,AND14 AND25 AND36 AND47 AND50 AND61 AND72 AND-NOT26
4c327b55,bit_manipulation,v355_bit_stride,bit_stride_default_bits_2,11011100,11011110,11011100,True,False,False,reject_rule_class_has_losses,1,0,I1 I2 I3 I4 default 1 default 1 AND25 AND36
0f2dec86,bit_manipulation,v355_bit_stride,bit_stride_default_bits_5,10111000,11111100,10111000,True,False,False,reject_rule_class_has_losses,1,0,I2 default 1 default 1 default 1 default 1 default 1 I5 I6
b8aa3072,bit_manipulation,v355_bit_stride,bit_stride_default_bits_0,00000111,00001111,00000011,False,False,False,reject_rule_class_has_losses,1,0,AND-NOT72 AND-NOT03 AND-NOT14 AND-NOT25 XOR36 I4 I5 I6
1abaffca,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,01011000,00000000,01000000,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 00100000:
0e70c867,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,01001100,00100100,01000000,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10010110:
54b895c1,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,10111011,10011001,10111011,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 00000101:
d6187157,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,01001000,00001000,01001000,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11101100:
b8722d19,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,11110100,11000000,00100100,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10000100:
8c0f9291,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,00001111,00000111,00001111,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11100011:
12e0ac8c,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,10101001,10101000,10101001,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10011100:
eea91b82,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,00101111,00101110,00101111,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11110101:
a6704625,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,00011111,00001111,00001101,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 01000111:
8740ed31,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,01101000,00001010,01101000,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11001101:
78d02fc5,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,11001011,11001000,11001001,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11011101:
21245d76,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,01111111,01110110,01111111,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11011011:
55d834d1,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,10111111,00111111,00111111,False,True,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 00011100:
4ef88f92,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,01010011,01010110,01010111,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 00110011:
5d77eff6,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,00011100,00011000,00011100,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 11100001:
1a7c8520,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_7,01100110,00100000,01100000,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10111000:
202af98d,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_4,11111111,01000100,11111101,False,False,False,reject_rule_class_no_gain,1,0,Per-bit analysis for 11110010:
3ace787f,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,11111111,11111010,11111011,False,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 01111011:
8243c91e,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,01000101,00000001,01000101,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10100110:
d26f22c3,bit_manipulation,v355_current_bit_solver,current_bit_solver_perbit_solved_8,11101100,11101000,11101100,True,False,False,reject_rule_class_has_losses,1,0,Per-bit analysis for 10010011:
