id,family,answer,converted_rows,converted_best_base_loss,converted_best_len,converted_best_correct,full_has_trace,full_len,full_correct,dataset_generated_cot_correct,dataset_generated_cot_len,trajectory_generated_answer_correct,trajectory_correctness
09d5ee68,equation_transform,!?'!,1,1.162891150033602,1033,True,True,1033,True,True,1003,False,false
00457d26,equation_transform,@&,1,1.3655971950954862,990,True,True,990,True,True,962,False,false
518deb39,equation_transform,$,1,1.4064718807444854,998,True,True,998,True,True,971,False,false
82109e34,equation_transform,-@>,1,1.2427569237824911,975,True,True,975,True,True,946,False,false
e1728524,equation_transform,1089,1,0.2757433374970081,11499,True,True,11499,True,True,11469,False,false
e3bf0c2c,equation_transform,"""`",1,1.0402485843703682,1118,True,True,1118,True,True,1090,False,false
fdbdf50c,equation_transform,"-\""",1,1.1287373564595244,1094,True,True,1094,True,True,1065,False,false
47c1d8f5,equation_transform,]%],1,1.2486636822040265,967,True,True,967,True,True,938,False,false
f9a33aa1,equation_transform,/((`,1,1.1429423625144342,987,True,True,987,True,True,957,False,false
f9799a68,equation_transform,&:/?,1,1.2666704689977537,1050,True,True,1050,True,True,1020,False,false
c24074a8,equation_transform,&/,1,1.0266455998496404,1114,True,True,1114,True,True,1086,False,false
893ffb06,equation_transform,-@',1,1.2383802476820054,1029,True,True,1029,True,True,1000,False,false
cf4c04c0,equation_transform,-[,1,1.118516848189282,1106,True,True,1106,True,True,1078,False,false
8e411cc7,equation_transform,]]],1,1.268964431946536,967,True,True,967,True,True,938,False,false
48c25e0e,equation_transform,53,1,0.2752351677566792,10808,True,True,10808,True,True,10780,False,false
a98d4d53,equation_transform,-),1,1.5706685384114585,857,True,True,857,True,True,829,False,false
59733f94,equation_transform,/,1,1.1142457263304455,1130,True,True,1130,True,True,1103,False,false
9dae880f,equation_transform,))[,1,1.1497107475034651,1110,True,True,1110,True,True,1081,False,false
ae6be599,equation_transform,#`,1,1.5128734150870902,857,True,True,857,True,True,829,False,false
8494aad3,equation_transform,"""`#&",1,1.2666758435837766,1037,True,True,1037,True,True,1007,False,false
e3890bf7,equation_transform,{@%],1,1.435038590631565,844,True,True,844,True,True,814,False,false
d29e19a4,equation_transform,?|,1,1.262165194945716,971,True,True,971,True,True,943,False,false
b06625c4,equation_transform,^&/,1,1.2520126999850478,963,True,True,963,True,True,934,False,false
52be4988,equation_transform,'!,1,1.0321756168287628,1098,True,True,1098,True,True,1070,False,false
2d3547af,equation_transform,))^),1,1.2849871407727542,979,True,True,979,True,True,949,False,false
28b0ff48,equation_transform,'],1,1.6949513007468842,837,True,True,837,True,True,809,False,false
61557701,equation_transform,|&,1,1.3198867281853863,963,True,True,963,True,True,935,False,false
02902eb3,equation_transform,>/,1,1.4511617894186253,836,True,True,836,True,True,808,False,false
0d90736f,equation_transform,:,1,1.1268710558157993,1122,True,True,1122,True,True,1095,False,false
294453b5,equation_transform,&(,1,1.3976845561594202,824,True,True,824,True,True,796,False,false
386b6d03,equation_transform,671,1,0.2794580261251279,10888,True,True,10888,True,True,10859,False,false
57f6878e,equation_transform,%{{,1,1.0854953734342716,1098,True,True,1098,True,True,1069,False,false
a361a1b7,equation_transform,:46,1,0.2558923957996279,11152,True,True,11152,True,False,11123,False,false
d911e8e1,equation_transform,:\:,1,1.5058878928507835,836,True,True,836,True,True,807,False,false
5f9f0ed7,equation_transform,}/!},1,1.104726993336397,1126,True,True,1126,True,True,1096,False,false
c43b5a13,equation_transform,)|,1,1.4537491571335566,820,True,True,820,True,True,792,False,false
b0206bb7,equation_transform,]$!,1,1.087155528277515,1118,True,True,1118,True,True,1089,False,false
638f93ca,equation_transform,@,1,1.2232568359375,971,True,True,971,True,True,944,False,false
4bfd095a,equation_transform,{<<<,1,1.2302200245745305,983,True,True,983,True,True,953,False,false
7a422e17,equation_transform,%'!,1,1.2821589408160972,967,True,True,967,True,True,938,False,false
5b2523e6,equation_transform,&&,1,1.2607850451157687,963,True,True,963,True,True,935,False,false
0fe53bac,equation_transform,"(""",1,1.208706657577552,959,True,True,959,True,True,931,False,false
03a3437f,equation_transform,-!,1,1.6412137385468308,849,True,True,849,True,True,821,False,false
30ac5c8e,equation_transform,)#?,1,1.0439873113502072,1126,True,True,1126,True,True,1097,False,false
ff121f08,equation_transform,#<,1,1.085608472804985,1110,True,True,1110,True,True,1082,False,false
ec8b4875,equation_transform,"|""]",1,1.4337447684151785,840,True,True,840,True,True,811,False,false
e3fbc768,equation_transform,'(^),1,1.5018771480028283,828,True,True,828,True,True,798,False,false
6cc5dafb,equation_transform,)(,1,1.2574496474562649,967,True,True,967,True,True,939,False,false
d5a03a2e,equation_transform,>>,1,1.2157612772821222,959,True,True,959,True,True,931,False,false
d129b085,equation_transform,##$,1,1.1526344476744186,979,True,True,979,True,True,950,False,false
e582df31,equation_transform,}@,1,1.5498775809151786,832,True,True,832,True,True,804,False,false
a77be9fa,equation_transform,"[""",1,1.4260820157266076,828,True,True,828,True,True,800,False,false
4ed6b56f,equation_transform,"(""/""",1,1.3779042922576832,983,True,True,983,True,True,953,False,false
208d7838,equation_transform,[:,1,1.0444207960559475,1110,True,True,1110,True,True,1082,False,false
58c099d2,equation_transform,-)\,1,1.583835335664971,828,True,True,828,True,True,799,False,false
3cb3fd89,equation_transform,[[&],1,1.290446105814758,983,True,True,983,True,True,953,False,false
a26065d4,equation_transform,<',1,1.12629113794597,1112,True,True,1112,True,True,1084,False,false
194695e8,equation_transform,%,1,1.4677984461743374,832,True,True,832,True,True,805,False,false
57712d01,equation_transform,-/<,1,1.1523935974494015,1110,True,True,1110,True,True,1081,False,false
d98d85c0,equation_transform,?(&@,1,1.6270958221520082,857,True,True,857,True,True,827,False,false
