id,answer,baseline_prediction,baseline_correct,candidate_predictions,candidate_count,candidate_correct,changed,already_known_v414,status,reason,operator_symbol_count,solution_program_count,proof
e518256e,84,84,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
09d5ee68,!?'!,|:>>,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
00457d26,@&,\boxed[[!'},False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
518deb39,$,{}>{,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
82109e34,-@>,'^^^',False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
5e67b1a1,63,63,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
e1728524,1089,0,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
e3bf0c2c,"""`",@`',False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
fdbdf50c,"-\""",|?|,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
47c1d8f5,]%],/`%`,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
f9a33aa1,/((`,@($/,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
9f2fae58,7272,7272,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
f9799a68,&:/?,:^?\,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
c24074a8,&/,]]]%,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
893ffb06,-@',@``:,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
cf4c04c0,-[,@|#|,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
8e411cc7,]]],$&&,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
41e6cbfc,9318,9318,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
dea42835,['[/,['[/,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
48c25e0e,53,32,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
7ef4d5d6,>42,>42,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
3ee36e0a,-51,-51,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
39c237c7,{]``,{]``,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
963e85bb,76,76,True,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,2,0,
a98d4d53,-),!$$[,False,,0,False,False,False,abstain,no_unique_signed_cryptarithm_candidate,3,0,
