key,count,answer_count,family_count,subcategory_count,answers_preview,families,subcategories,ids_preview,template_preview
770724fb64c80b14d98987681ece2f92a1cfc95183b0eb6f20ab3ea1a4b66c5f,4,1,1,1,80,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00015|v498_validation_colon_absdiff_restore_trailing_zero_00090|v498_validation_colon_absdiff_restore_trailing_zero_00081|v498_validation_colon_absdiff_restore_trailing_zero_00034,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
07728138d9b62bad07ac2f05bd4ed4bb61f3ed87ab1c2afeaf41611604290327,3,1,1,1,40,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00386|v498_train_colon_absdiff_restore_trailing_zero_00032|v498_train_colon_absdiff_restore_trailing_zero_00007,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
0b5acde0f509e1246bf6ce56afc07f9ee1f08dcef121b925a8032149e93f2eab,3,1,1,1,30,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00044|v498_train_colon_absdiff_restore_trailing_zero_00316|v498_train_colon_absdiff_restore_trailing_zero_00028,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
18e223dab0353534de1ac15f1de4a2beda2ee04ec81fc3b521254aed1b4b30c6,3,1,1,1,20,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00192|v498_train_colon_absdiff_restore_trailing_zero_00208|v498_train_colon_absdiff_restore_trailing_zero_00262,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
2b9f16d879bce48bb287bc4c9b6df4ce5fe8b9600c8ad92047c7f0a61dc57200,3,1,1,1,50,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00033|v498_train_colon_absdiff_restore_trailing_zero_00183|v498_train_colon_absdiff_restore_trailing_zero_00352,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
60c4953a448bddc524755e9c2ca5d9fa033eae408761409758a3902ce833e33e,3,1,1,1,10,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_validation_colon_absdiff_restore_trailing_zero_00051|v498_validation_colon_absdiff_restore_trailing_zero_00087|v498_validation_colon_absdiff_restore_trailing_zero_00044,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
6883bb3124596656aa7b0d551e13c99c442b66bab560a55fb0339a099e03b114,3,1,1,1,20,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00377|v498_train_colon_absdiff_restore_trailing_zero_00312|v498_validation_colon_absdiff_restore_trailing_zero_00062,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
6fdcfc48bca5d59f8ec9b08b583d5fbc794fab4dc4485c838541b3f6f81052db,3,1,1,1,70,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00252|v498_train_colon_absdiff_restore_trailing_zero_00181|v498_train_colon_absdiff_restore_trailing_zero_00136,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
7ac6bf2effccea4d653b7911dda21951a70ec707d617018faff204d9f50195a0,3,1,1,1,11001100,bit_manipulation,bit_guardrail_replay,v514_v498_train_bit_replay_00339_v217_train_1fa42d831f6e17b6|v514_v498_train_bit_replay_00001_v217_train_3514c4e7e552bb62|v514_v498_validation_bit_replay_00069_v217_val_ca95aa9dab2b07b5,global unary: output = rol7(input) final answer: \boxed{<ans>}
83b0914224a4594d0b606c8d4f2c0ba06fd38a33f85fb3999ba297b76e89accd,3,1,1,1,40,equation_transform,equation_numeric_colon_trailing_zero_hard_negative,v498_train_colon_absdiff_restore_trailing_zero_00180|v498_train_colon_absdiff_restore_trailing_zero_00261|v498_validation_colon_absdiff_restore_trailing_zero_00016,rule: for ':' compute the absolute difference and preserve the full decimal digits. reject common wrong candidate <num>; it drops a required trailing zero. query <num>:<num> gives <num>. final answer: \boxed{<ans>}
